"time","low","high","open","close","volume"
"2023-07-31T00:00:00.000Z",8.98,9.4,9.13,9.03,11903.324
"2023-08-01T00:00:00.000Z",8.87,9.64,9.02,9.61,8805.6
"2023-08-02T00:00:00.000Z",9.24,9.75,9.62,9.27,7658.988
"2023-08-03T00:00:00.000Z",9.12,9.48,9.28,9.22,5745.176
"2023-08-04T00:00:00.000Z",9.09,9.58,9.21,9.25,7211.14
"2023-08-05T00:00:00.000Z",9.05,9.33,9.23,9.26,3938.184
"2023-08-06T00:00:00.000Z",9.22,9.62,9.25,9.38,26044.303
"2023-08-07T00:00:00.000Z",8.85,9.48,9.4,9.03,6475.883
"2023-08-08T00:00:00.000Z",8.59,9.04,9.02,8.71,10575.342
"2023-08-09T00:00:00.000Z",8.55,8.78,8.73,8.67,5001.977
"2023-08-10T00:00:00.000Z",8.59,8.81,8.66,8.61,2234.19
"2023-08-11T00:00:00.000Z",8.55,8.73,8.63,8.71,2185.462
"2023-08-12T00:00:00.000Z",8.65,8.77,8.71,8.68,1529.999
"2023-08-13T00:00:00.000Z",8.55,8.77,8.68,8.61,1972.342
"2023-08-14T00:00:00.000Z",8.56,8.86,8.6,8.8,2609.791
"2023-08-15T00:00:00.000Z",7.56,8.79,8.79,8,13517.237
"2023-08-16T00:00:00.000Z",7.5,8.02,7.99,7.79,6215.483
"2023-08-17T00:00:00.000Z",6.35,7.88,7.79,7.09,8941.35
"2023-08-18T00:00:00.000Z",7.09,7.37,7.09,7.23,3623.678
"2023-08-19T00:00:00.000Z",7.14,7.34,7.24,7.22,5623.46
"2023-08-20T00:00:00.000Z",7.1,7.32,7.31,7.21,2578.504
"2023-08-21T00:00:00.000Z",6.99,7.22,7.2,7.15,4160.58
"2023-08-22T00:00:00.000Z",6.98,7.28,7.16,7.27,5313.834
"2023-08-23T00:00:00.000Z",7.23,7.51,7.3,7.41,5817.814
"2023-08-24T00:00:00.000Z",7,7.4,7.4,7.14,4139.831
"2023-08-25T00:00:00.000Z",6.94,7.18,7.11,7.12,3325.614
"2023-08-26T00:00:00.000Z",7.04,7.2,7.12,7.1,767.813
"2023-08-27T00:00:00.000Z",6.78,7.14,7.11,6.83,6884.604
"2023-08-28T00:00:00.000Z",6.64,6.94,6.81,6.91,6981.75
"2023-08-29T00:00:00.000Z",6.76,8.13,6.93,7.83,33217.296
"2023-08-30T00:00:00.000Z",7.62,7.94,7.87,7.93,10054.989
"2023-08-31T00:00:00.000Z",7.39,8,7.95,7.55,11364.267
"2023-09-01T00:00:00.000Z",7.27,7.74,7.57,7.32,9896.236
"2023-09-02T00:00:00.000Z",7.02,7.37,7.31,7.19,5441.783
"2023-09-03T00:00:00.000Z",7.11,7.31,7.21,7.27,1517.336
"2023-09-04T00:00:00.000Z",7.03,7.44,7.27,7.12,4030.301
"2023-09-05T00:00:00.000Z",7.02,7.36,7.1,7.31,4639.773
"2023-09-06T00:00:00.000Z",7.12,7.38,7.31,7.33,3051.501
"2023-09-07T00:00:00.000Z",7.03,7.34,7.34,7.25,4361.775
"2023-09-08T00:00:00.000Z",7.14,7.32,7.25,7.23,3596.503
"2023-09-09T00:00:00.000Z",7.18,7.32,7.22,7.18,2164.627
"2023-09-10T00:00:00.000Z",6.75,7.18,7.18,6.93,6952.746
"2023-09-11T00:00:00.000Z",6.62,7,6.91,6.81,10789.675
"2023-09-12T00:00:00.000Z",6.78,7.04,6.81,6.85,7377.675
"2023-09-13T00:00:00.000Z",6.85,7.04,6.86,7.02,2430.006
"2023-09-14T00:00:00.000Z",6.89,7.15,7.01,6.98,4312.702
"2023-09-15T00:00:00.000Z",6.93,7.3,6.97,7.3,4785.512
"2023-09-16T00:00:00.000Z",7.28,7.47,7.3,7.43,6961.456
"2023-09-17T00:00:00.000Z",7.01,7.42,7.42,7.11,2169.757
"2023-09-18T00:00:00.000Z",7.04,7.67,7.1,7.3,5323.158
"2023-09-19T00:00:00.000Z",7.27,7.67,7.31,7.61,6088.648
"2023-09-20T00:00:00.000Z",7.47,7.7,7.61,7.61,2185.373
"2023-09-21T00:00:00.000Z",7.21,7.68,7.62,7.4,5060.589
"2023-09-22T00:00:00.000Z",7.34,7.53,7.39,7.48,1680.665
"2023-09-23T00:00:00.000Z",7.36,7.57,7.48,7.39,1354.741
"2023-09-24T00:00:00.000Z",7.22,7.42,7.41,7.23,3584.406
"2023-09-25T00:00:00.000Z",7.16,7.7,7.23,7.55,17186.762
"2023-09-26T00:00:00.000Z",7.36,7.64,7.56,7.55,6132.395
"2023-09-27T00:00:00.000Z",7.54,7.79,7.58,7.61,24118.035
"2023-09-28T00:00:00.000Z",7.61,7.9,7.62,7.79,8027.225
"2023-09-29T00:00:00.000Z",7.64,7.83,7.78,7.8,4519.789
"2023-09-30T00:00:00.000Z",7.68,7.83,7.78,7.77,3278.156
"2023-10-01T00:00:00.000Z",7.78,8.47,7.78,8.36,5153.546
"2023-10-02T00:00:00.000Z",8,8.4,8.37,8.12,3681.451
"2023-10-03T00:00:00.000Z",7.56,8.21,8.13,7.68,3549.02
"2023-10-04T00:00:00.000Z",7.38,8.12,7.67,8.03,13105.29
"2023-10-05T00:00:00.000Z",7.82,8.21,8.02,7.82,7465.062
"2023-10-06T00:00:00.000Z",7.83,8.27,7.83,8.16,15600.337
"2023-10-07T00:00:00.000Z",8,8.23,8.17,8.05,3175.012
"2023-10-08T00:00:00.000Z",7.8,8.09,8.05,8.03,6795.495
