"price","volume","timestamp","type"
"9.57","359.593","2024-05-25T19:47:56.512Z","ask"
"9.58","448.453","2024-05-25T19:47:56.512Z","ask"
"9.59","789.138","2024-05-25T19:47:56.512Z","ask"
"9.6","31.799","2024-05-25T19:47:56.512Z","ask"
"9.61","39.749","2024-05-25T19:47:56.512Z","ask"
"9.64","21.168","2024-05-25T19:47:56.512Z","ask"
"9.65","79.498","2024-05-25T19:47:56.512Z","ask"
"9.67","27.657","2024-05-25T19:47:56.512Z","ask"
"9.68","372.909","2024-05-25T19:47:56.512Z","ask"
"9.69","99.372","2024-05-25T19:47:56.512Z","ask"
"9.72","526.368","2024-05-25T19:47:56.512Z","ask"
"9.74","119.247","2024-05-25T19:47:56.512Z","ask"
"9.75","526.368","2024-05-25T19:47:56.512Z","ask"
"9.76","0.2","2024-05-25T19:47:56.512Z","ask"
"9.81","448.215","2024-05-25T19:47:56.512Z","ask"
"9.82","1.596","2024-05-25T19:47:56.512Z","ask"
"9.83","0.948","2024-05-25T19:47:56.512Z","ask"
"9.85","52.224","2024-05-25T19:47:56.512Z","ask"
"9.88","18.86","2024-05-25T19:47:56.512Z","ask"
"9.89","0.54","2024-05-25T19:47:56.512Z","ask"
"9.9","2.058","2024-05-25T19:47:56.512Z","ask"
"9.93","0.304","2024-05-25T19:47:56.512Z","ask"
"9.99","9.374","2024-05-25T19:47:56.512Z","ask"
"10","189.602","2024-05-25T19:47:56.512Z","ask"
"10.1","9.9","2024-05-25T19:47:56.512Z","ask"
"10.12","0.2","2024-05-25T19:47:56.512Z","ask"
"10.2","0.2","2024-05-25T19:47:56.512Z","ask"
"10.41","4.821","2024-05-25T19:47:56.512Z","ask"
"10.48","0.2","2024-05-25T19:47:56.512Z","ask"
"10.53","84.178","2024-05-25T19:47:56.512Z","ask"
"10.7","1.139","2024-05-25T19:47:56.512Z","ask"
"11","5.2","2024-05-25T19:47:56.512Z","ask"
"11.33","0.267","2024-05-25T19:47:56.512Z","ask"
"11.35","4.861","2024-05-25T19:47:56.512Z","ask"
"11.48","77.453","2024-05-25T19:47:56.512Z","ask"
"11.5","331.142","2024-05-25T19:47:56.512Z","ask"
"11.62","63.001","2024-05-25T19:47:56.512Z","ask"
"11.63","0.3","2024-05-25T19:47:56.512Z","ask"
"11.64","0.2","2024-05-25T19:47:56.512Z","ask"
"11.65","0.1","2024-05-25T19:47:56.512Z","ask"
"11.7","858.222","2024-05-25T19:47:56.512Z","ask"
"11.82","0.1","2024-05-25T19:47:56.512Z","ask"
"11.85","0.5","2024-05-25T19:47:56.512Z","ask"
"11.86","2336.206","2024-05-25T19:47:56.512Z","ask"
"11.87","0.173","2024-05-25T19:47:56.512Z","ask"
"11.89","0.173","2024-05-25T19:47:56.512Z","ask"
"11.91","0.54","2024-05-25T19:47:56.512Z","ask"
"12","13.131","2024-05-25T19:47:56.512Z","ask"
"12.24","0.2","2024-05-25T19:47:56.512Z","ask"
"12.26","42.884","2024-05-25T19:47:56.512Z","ask"
"12.3","60","2024-05-25T19:47:56.512Z","ask"
"12.37","0.163","2024-05-25T19:47:56.512Z","ask"
"12.4","0.455","2024-05-25T19:47:56.512Z","ask"
"12.46","0.73","2024-05-25T19:47:56.512Z","ask"
"12.55","180.342","2024-05-25T19:47:56.512Z","ask"
"12.65","498.086","2024-05-25T19:47:56.512Z","ask"
