"time","open","high","low","close","volume"
"2022-06-02T00:00:00.000Z","0.953","0.953","0.901","0.931","15281.13036943"
"2022-06-03T00:00:00.000Z","0.924","0.924","0.857","0.866","83106.15133895"
"2022-06-04T00:00:00.000Z","0.872","0.877","0.854","0.869","6267.88879042"
"2022-06-05T00:00:00.000Z","0.858","0.867","0.850","0.858","15118.21120309"
"2022-06-06T00:00:00.000Z","0.865","0.895","0.862","0.873","6734.98817631"
"2022-06-07T00:00:00.000Z","0.869","0.869","0.821","0.848","21959.24418840"
"2022-06-08T00:00:00.000Z","0.845","0.846","0.809","0.817","38126.90676426"
"2022-06-09T00:00:00.000Z","0.813","0.821","0.797","0.797","6566.32018124"
"2022-06-10T00:00:00.000Z","0.793","0.801","0.747","0.756","36807.76349352"
"2022-06-11T00:00:00.000Z","0.760","0.771","0.693","0.693","8756.93651664"
"2022-06-12T00:00:00.000Z","0.698","0.715","0.649","0.649","101211.17734622"
"2022-06-13T00:00:00.000Z","0.654","0.658","0.570","0.598","75860.52694254"
"2022-06-14T00:00:00.000Z","0.594","0.603","0.559","0.594","31648.68901095"
"2022-06-15T00:00:00.000Z","0.591","0.633","0.542","0.629","52986.97108106"
"2022-06-16T00:00:00.000Z","0.633","0.636","0.570","0.570","33963.68198496"
"2022-06-17T00:00:00.000Z","0.578","0.601","0.578","0.589","20271.38795590"
"2022-06-18T00:00:00.000Z","0.593","0.598","0.517","0.549","41156.76126416"
"2022-06-19T00:00:00.000Z","0.539","0.582","0.537","0.580","36848.94838805"
"2022-06-20T00:00:00.000Z","0.579","0.719","0.565","0.689","94986.45202529"
"2022-06-21T00:00:00.000Z","0.701","0.731","0.666","0.690","94814.24413235"
"2022-06-22T00:00:00.000Z","0.710","0.746","0.651","0.702","22798.99191337"
"2022-06-23T00:00:00.000Z","0.682","0.705","0.668","0.705","12192.11470733"
"2022-06-24T00:00:00.000Z","0.719","0.777","0.697","0.763","52968.60192095"
"2022-06-25T00:00:00.000Z","0.753","0.761","0.701","0.731","64334.01900217"
"2022-06-26T00:00:00.000Z","0.730","0.780","0.691","0.691","75843.84985004"
"2022-06-27T00:00:00.000Z","0.688","0.722","0.650","0.669","195782.66771279"
"2022-06-28T00:00:00.000Z","0.672","0.799","0.646","0.733","164849.93348964"
"2022-06-29T00:00:00.000Z","0.737","0.773","0.696","0.702","15879.64388154"
"2022-06-30T00:00:00.000Z","0.714","0.747","0.662","0.695","24713.94652157"
"2022-07-01T00:00:00.000Z","0.690","0.705","0.648","0.651","17717.63686806"
"2022-07-02T00:00:00.000Z","0.653","0.653","0.621","0.636","77143.18473446"
"2022-07-03T00:00:00.000Z","0.625","0.635","0.615","0.622","24939.00856533"
"2022-07-04T00:00:00.000Z","0.627","0.636","0.606","0.636","138669.05369706"
"2022-07-05T00:00:00.000Z","0.638","0.655","0.600","0.621","88908.35340669"
"2022-07-06T00:00:00.000Z","0.620","0.628","0.613","0.628","66783.22372790"
"2022-07-07T00:00:00.000Z","0.622","0.654","0.620","0.643","341490.84636915"
"2022-07-08T00:00:00.000Z","0.643","0.716","0.643","0.684","82947.73010759"
"2022-07-09T00:00:00.000Z","0.693","0.710","0.676","0.694","100117.66967297"
"2022-07-10T00:00:00.000Z","0.704","0.704","0.629","0.641","130373.83712080"
"2022-07-11T00:00:00.000Z","0.638","0.643","0.588","0.592","135516.72264088"
"2022-07-12T00:00:00.000Z","0.589","0.597","0.563","0.563","40693.68893608"
"2022-07-13T00:00:00.000Z","0.561","0.595","0.545","0.595","107395.85397356"
"2022-07-14T00:00:00.000Z","0.591","0.632","0.570","0.623","88884.61712912"
"2022-07-15T00:00:00.000Z","0.608","0.699","0.607","0.651","96938.54666288"
"2022-07-16T00:00:00.000Z","0.646","0.671","0.633","0.666","33736.25913708"
"2022-07-17T00:00:00.000Z","0.652","0.680","0.643","0.645","31754.61784900"
"2022-07-18T00:00:00.000Z","0.650","0.734","0.650","0.719","38542.07897669"
"2022-07-19T00:00:00.000Z","0.725","0.778","0.713","0.735","90908.33855534"
"2022-07-20T00:00:00.000Z","0.723","0.749","0.672","0.680","104602.40489191"
"2022-07-21T00:00:00.000Z","0.679","0.694","0.650","0.686","15041.27601089"
"2022-07-22T00:00:00.000Z","0.688","0.714","0.657","0.662","9335.55006233"
"2022-07-23T00:00:00.000Z","0.674","0.702","0.658","0.679","8895.40871171"
"2022-07-24T00:00:00.000Z","0.684","0.694","0.676","0.681","11661.93659372"
"2022-07-25T00:00:00.000Z","0.678","0.678","0.624","0.625","5171.19061167"
"2022-07-26T00:00:00.000Z","0.619","0.635","0.606","0.635","25293.65208260"
"2022-07-27T00:00:00.000Z","0.635","0.695","0.621","0.694","21538.75910112"
"2022-07-28T00:00:00.000Z","0.694","0.804","0.688","0.773","159613.55968794"
"2022-07-29T00:00:00.000Z","0.774","0.785","0.744","0.760","25156.88058501"
"2022-07-30T00:00:00.000Z","0.766","0.831","0.756","0.765","72167.44286474"
"2022-07-31T00:00:00.000Z","0.773","0.816","0.754","0.765","10503.16148429"
"2022-08-01T00:00:00.000Z","0.761","0.793","0.741","0.766","32546.14310231"
"2022-08-02T00:00:00.000Z","0.770","0.770","0.721","0.752","9701.80597952"
"2022-08-03T00:00:00.000Z","0.744","0.812","0.728","0.767","34183.36185420"
"2022-08-04T00:00:00.000Z","0.776","0.828","0.776","0.804","24046.14150362"
"2022-08-05T00:00:00.000Z","0.804","0.846","0.804","0.830","73016.05863942"
"2022-08-06T00:00:00.000Z","0.832","0.843","0.805","0.805","8595.36746148"
"2022-08-07T00:00:00.000Z","0.809","0.820","0.800","0.803","10077.71151061"
"2022-08-08T00:00:00.000Z","0.811","0.863","0.811","0.836","28499.85898477"
"2022-08-09T00:00:00.000Z","0.835","0.876","0.795","0.811","38845.50596650"
"2022-08-10T00:00:00.000Z","0.808","0.907","0.790","0.877","64288.90119465"
"2022-08-11T00:00:00.000Z","0.880","0.892","0.860","0.864","16728.65010479"
"2022-08-12T00:00:00.000Z","0.858","0.892","0.848","0.879","6168.30814697"
"2022-08-13T00:00:00.000Z","0.879","0.912","0.874","0.874","15036.08393961"
"2022-08-14T00:00:00.000Z","0.884","0.892","0.834","0.842","33298.19565645"
"2022-08-15T00:00:00.000Z","0.842","0.858","0.809","0.821","27903.89778051"
"2022-08-16T00:00:00.000Z","0.823","0.831","0.809","0.817","88632.82732019"
"2022-08-17T00:00:00.000Z","0.823","0.841","0.766","0.772","20796.89757734"
"2022-08-18T00:00:00.000Z","0.764","0.784","0.723","0.739","187061.68492703"
"2022-08-19T00:00:00.000Z","0.734","0.734","0.655","0.677","113130.54551961"
"2022-08-20T00:00:00.000Z","0.684","0.700","0.660","0.681","38155.63080722"
"2022-08-21T00:00:00.000Z","0.678","0.708","0.678","0.702","15799.01217322"
"2022-08-22T00:00:00.000Z","0.699","0.700","0.661","0.698","23568.69825023"
