"price","volume","time","side","orderType"
"0.498125","4.12687600","2024-05-21T15:54:26.871Z","s","l"
"0.498088","31.15600000","2024-05-21T15:54:52.054Z","b","l"
"0.498088","31.15600000","2024-05-21T15:55:09.712Z","b","l"
"0.498087","42.08702985","2024-05-21T15:55:14.424Z","s","m"
"0.498087","18.14341181","2024-05-21T15:55:14.557Z","s","l"
"0.497761","70.31486999","2024-05-21T15:55:25.542Z","s","l"
"0.497314","10.00000000","2024-05-21T15:55:38.890Z","s","m"
"0.497070","486.67937061","2024-05-21T15:55:38.890Z","s","m"
"0.497000","60.36217304","2024-05-21T15:55:38.890Z","s","m"
"0.496854","222.19340075","2024-05-21T15:55:38.890Z","s","m"
"0.496769","1900.00000000","2024-05-21T15:55:38.890Z","s","m"
"0.496738","1280.54164500","2024-05-21T15:55:38.890Z","s","m"
"0.496885","85.82126016","2024-05-21T15:55:40.163Z","b","l"
"0.496570","37.18589417","2024-05-21T15:55:59.174Z","b","m"
"0.496569","173.27047820","2024-05-21T15:56:09.538Z","s","l"
"0.496489","138.25079710","2024-05-21T15:56:09.580Z","s","l"
"0.496532","1153.58461265","2024-05-21T15:56:17.133Z","s","l"
"0.496717","127.18586945","2024-05-21T15:56:33.499Z","s","m"
"0.496380","56.40839680","2024-05-21T15:56:33.499Z","s","m"
"0.496380","100.72927999","2024-05-21T15:56:33.499Z","s","m"
"0.496380","100.72927999","2024-05-21T15:56:33.499Z","s","m"
"0.496361","9887.46860214","2024-05-21T15:56:33.499Z","s","m"
"0.496306","34.00000000","2024-05-21T15:58:20.145Z","s","l"
"0.496306","57.27733163","2024-05-21T15:58:20.145Z","s","l"
"0.496033","34.00000000","2024-05-21T15:58:24.129Z","s","l"
"0.496033","38.31558578","2024-05-21T15:58:24.133Z","s","l"
"0.496017","129.70506203","2024-05-21T15:58:24.133Z","s","l"
"0.496000","60.48387097","2024-05-21T15:58:24.142Z","s","l"
"0.495903","12.46318000","2024-05-21T15:58:30.469Z","b","m"
"0.495903","15.77428756","2024-05-21T15:58:35.886Z","b","l"
"0.495902","169.92544854","2024-05-21T15:58:36.051Z","s","m"
"0.495770","330.07455146","2024-05-21T15:58:36.051Z","s","m"
"0.495770","129.64079571","2024-05-21T15:58:36.523Z","s","m"
"0.496821","31.24600000","2024-05-21T15:59:34.308Z","b","l"
"0.496930","20.00000000","2024-05-21T16:00:03.878Z","s","m"
"0.496931","81.43088439","2024-05-21T16:00:17.167Z","b","l"
"0.497350","5026.64119835","2024-05-21T16:00:17.790Z","s","m"
"0.497270","467.04105012","2024-05-21T16:00:17.790Z","s","m"
"0.497212","33.79805661","2024-05-21T16:00:17.790Z","s","m"
"0.497212","5106.30011932","2024-05-21T16:00:17.790Z","s","m"
"0.496671","10.00000000","2024-05-21T16:01:16.278Z","b","l"
"0.495771","1953.18714300","2024-05-21T16:01:50.891Z","b","l"
"0.495770","77.67711600","2024-05-21T16:02:12.156Z","s","l"
"0.496064","37.17249153","2024-05-21T16:02:32.386Z","b","l"
"0.496821","2429.12334337","2024-05-21T16:02:41.897Z","b","l"
"0.496859","65.31695628","2024-05-21T16:02:41.914Z","b","l"
"0.497063","73.29924968","2024-05-21T16:02:42.277Z","b","l"
"0.497251","22.22000000","2024-05-21T16:02:42.910Z","b","m"
"0.498126","37.09593023","2024-05-21T16:04:07.288Z","b","l"
"0.498206","47.10312909","2024-05-21T16:04:07.289Z","b","l"
"0.498351","65.14365100","2024-05-21T16:04:11.125Z","b","l"
"0.498531","57.08460949","2024-05-21T16:04:11.125Z","b","l"
"0.498531","3.96990554","2024-05-21T16:04:13.219Z","b","l"
"0.498576","65.09620880","2024-05-21T16:04:13.219Z","b","l"
"0.498691","16.89182562","2024-05-21T16:04:18.024Z","b","l"
"0.498696","81.13954529","2024-05-21T16:04:18.024Z","b","l"
"0.498985","187.24421317","2024-05-21T16:04:43.191Z","b","l"
"0.499426","57.09030240","2024-05-21T16:04:43.191Z","b","l"
"0.499425","49.88019000","2024-05-21T16:04:43.649Z","b","m"
"0.499447","14.87772390","2024-05-21T16:05:16.372Z","b","l"
"0.499622","271.14408377","2024-05-21T16:05:18.349Z","b","l"
"0.499632","12.86239800","2024-05-21T16:05:18.349Z","b","l"
"0.499643","28.94774131","2024-05-21T16:05:18.349Z","b","l"
"0.500028","57.07453747","2024-05-21T16:05:18.363Z","b","l"
"0.499870","40.97014928","2024-05-21T16:06:11.340Z","b","m"
"0.500028","15.09641680","2024-05-21T16:06:11.340Z","b","m"
"0.500080","244.06370062","2024-05-21T16:06:11.340Z","b","m"
"0.500244","299.43973330","2024-05-21T16:06:11.340Z","b","m"
"0.499909","36.99258600","2024-05-21T16:06:13.958Z","b","l"
"0.499836","56.69127159","2024-05-21T16:06:31.872Z","s","l"
"0.499193","206.69422800","2024-05-21T16:06:36.301Z","b","m"
"0.499205","37.87238300","2024-05-21T16:06:53.946Z","b","m"
"0.499205","72.19761699","2024-05-21T16:07:00.293Z","b","l"
"0.499712","30.86308558","2024-05-21T16:07:04.335Z","b","l"
"0.499971","34.01733700","2024-05-21T16:07:07.145Z","b","m"
"0.499800","11.20758914","2024-05-21T16:07:25.448Z","b","m"
"0.499827","22.42296486","2024-05-21T16:07:25.448Z","b","m"
"0.499700","28.67203344","2024-05-21T16:07:43.578Z","b","l"
"0.499700","357.44757522","2024-05-21T16:07:43.578Z","b","l"
"0.499715","18.74731534","2024-05-21T16:07:43.578Z","b","l"
"0.499185","734.93775991","2024-05-21T16:08:11.265Z","s","l"
"0.499136","933.37007509","2024-05-21T16:08:11.265Z","s","l"
"0.499204","3.94717100","2024-05-21T16:08:24.036Z","b","l"
"0.499262","9.89714800","2024-05-21T16:09:15.876Z","s","l"
"0.499382","2752.00000000","2024-05-21T16:09:39.572Z","s","l"
"0.499589","14.90650321","2024-05-21T16:10:56.828Z","b","m"
"0.499700","37.08636138","2024-05-21T16:10:56.828Z","b","m"
